Gene__Species	KRAB	SSXRD	SET
evm.model.contig_484.1__jam	0	1	0
evm.model.contig_485.1__jam	0	1	1
ajam-rna-XM_037159202.1.36__jam	0	1	1
evm.model.contig_497.1__jam	0	1	1
evm.model.contig_510.2__jam	0	1	1
evm.model.contig_519.797__jam	0	1	1
evm.model.contig_519.798__jam	0	1	1
evm.model.contig_547.1__jam	0	0	1
evm.model.contig_583.1__jam	0	1	0
evm.model.contig_650.2__jam	0	1	1
evm.model.contig_662.5__jam	0	1	1
evm.model.contig_662.6__jam	0	1	1
evm.model.contig_68.1__jam	0	1	0
evm.model.contig_685.665__jam	1	1	0
evm.model.contig_723.85__jam	1	1	1
evm.model.contig_755.3__jam	1	1	1
evm.model.contig_761.5__jam	0	1	0
evm.model.contig_944.131__jam	0	1	1
evm.model.scaffold_1689.327__jam	0	1	1
evm.model.scaffold_286.44__jam	1	1	1
evm.model.scaffold_286.45__jam	1	1	1
evm.model.scaffold_3151.1__jam	0	1	1
evm.model.scaffold_369.1__jam	0	1	1
evm.model.scaffold_474.556__jam	0	1	0
evm.model.scaffold_537.89__jam	1	1	1
evm.model.scaffold_537.90__jam	0	0	0
ajam-rna-XM_037155931.1.513__jam	0	1	1
evm.model.scaffold_625.127__jam	0	1	0
rna-XM_037164397.1__ajam	0	1	1
rna-XM_037137683.1__ajam	0	1	1
rna-XM_037145338.1__ajam	0	1	1
rna-XM_037148490.1__ajam	0	1	1
rna-XM_037151705.1__ajam	0	1	1
rna-XM_037155934.1__ajam	0	1	1
rna-XM_037159202.1__ajam	0	1	0
rna-XM_037160492.1__ajam	0	1	1
rna-XM_037161345.1__ajam	1	1	1
rna-XM_037161298.1__ajam	0	1	1
rna-XM_037161579.1__ajam	1	1	0
rna-XM_037167969.1__ajam	0	1	1
rna-XM_037125662.1__ajam	0	0	1
rna-XM_037126125.1__ajam	0	1	1
rna-XM_037126760.1__ajam	0	0	0
rna-XM_037126759.1__ajam	0	1	0
rna-XM_037127723.1__ajam	0	1	0
rna-XM_037129978.1__ajam	0	1	1
